userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,musicalTheoryRating,musicalTheoryRating
30/08/2021 9:35:39 PM,28.94,0.45,0.30,0.34,9,2,spatialHarmonicsTwoD,0,2,,7,2
30/08/2021 9:35:39 PM,6.93,0.37,0.23,0.29,10,2,spatialHarmonicsTwoD,0,2,,7,2
31/08/2021 14:20:07,16.58,0.97,0.18,0.95,1,2,spatialHarmonicsTwoD,8,2,8/31/2021 15:00:14,4,2
31/08/2021 14:20:07,128.03,1.75,1.12,1.35,2,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,45.60,26.69,26.68,0.62,3,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,27.48,1.47,1.25,0.77,4,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,4.38,0.39,0.39,0.06,5,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,73.03,1.32,1.32,0.01,6,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,10.28,0.20,0.09,0.18,7,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,33.85,2.81,2.60,1.05,8,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,13.35,0.52,0.52,0.06,9,2,spatialHarmonicsTwoD,8,2,,4,2
31/08/2021 14:20:07,33.15,5.52,5.46,0.81,10,2,spatialHarmonicsTwoD,8,2,,4,2
4/8/2021 9:55:34 AM,11.40,0.54,0.39,0.37,1,1,spatialHarmonicsTwoD,4,6,4/8/2021 9:55:34 AM,6,2
4/8/2021 9:55:34 AM,18.38,0.41,0.17,0.37,2,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,13.60,0.14,0.04,0.13,3,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,19.58,0.44,0.35,0.27,4,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,16.55,0.17,0.05,0.16,5,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,4.58,0.27,0.18,0.20,6,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,21.53,0.10,0.07,0.07,7,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,10.45,0.23,0.00,0.23,8,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,12.38,0.06,0.04,0.04,9,1,spatialHarmonicsTwoD,4,6,,6,2
4/8/2021 9:55:34 AM,8.97,0.36,0.35,0.10,10,1,spatialHarmonicsTwoD,4,6,,6,2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,
N = 170,25.02,2.03,1.19,1.25,,,,,,,,
,,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,,
,Acc:,,0.8777777778,0.8333333333,0.7777777778,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,,,,,,,,0.27463485,7,
,,,,,,,,,,1.513050437,6,
,,,,,,,,,,1.866044689,5,
,,,,,,,,,,4.16424473,4,
,,,,,,,,,,3.29735151,3,
,,,,,,,,,,#DIV/0!,2,
,,,,,,,,,,#DIV/0!,1,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,,,,,,,90,2.025167858,Some/High,
,,,,,,,,,0,#DIV/0!,Low/None,
